Transportation Booking Form,,,,,
,,,,,
Guest name: ,Hilmi Salleh,,,,
Dates :,27/12/2025 - 31/12/2025,,,,
Number of pax: ,8A + 2CWB + 1TG,,,,
Car Type : ,"7,10,14 Seater",,,,
,,,,,
Flight Details,Dates / Aiport Name / Flights Code / Time,,,,
International Arrival: ,27/12/2025 / Kansai International Airport / TBC / TBC,,,,
,,,,,
International Departure:,31/12/2025 / Kansai International Airport / TBC / TBC,,,,
,,,,,
,,,,,
Hotel Arrangement :,,,,,
,TBC,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Dates / Type of transportation,Tour Details,,HARGA WIF,Harga B2B (JPY),
27/12 - Coaster,Osaka Airport (KIX) - Osaka Castle Park** - Namba - Dotonbori - Shinsaibashi - Osaka Apt,,"¥160,000","¥200,000","RM6,200.00"
28/12 - 14 Seater,Osaka Apt - Nara Deer Park - Arashiyama Bamboo Groove - Tenryuuji** - Gion - Sannenzaka - Osaka Apt,,"¥70,000","¥80,000","RM2,480.00"
29/12 - 14 Seater,Osaka apt - Kuromon Market - Shinsekai Market - Tsutenkaku Tower - Osaka Apt,,"¥45,000","¥50,000","RM1,550.00"
30/12 - No Transport,Free & Easy,,¥0,¥0,RM0.00
31/12 - 7 + 10 Seater,Osaka Apt - Osaka Airport,,"¥35,000","¥45,000","RM1,395.00"
,,,,,
,,,,,
,,,,,
,,,,,
Transportation Total Cost,,,"¥310,000","¥375,000","RM11,625.00"
,,,,,
Flight if WIF book,,QTY,Price per pax,Total,
,,,,¥0,
,,,,¥0,
,,,,,
Flight Total Cost,,,,¥0,
,,,,,
Hotel If WIF book,,QTY,Price per pax,Total,
,,,,¥0,
,,,,¥0,
,,,,¥0,
,,,,,
Accomodation Total Cost,,,,¥0,
,,,,,
Meals ,,QTY,Price per pax,Total,
Breakfast,4 x10,40,"¥1,500","¥60,000",
Lunch,3x10,30,"¥2,000","¥60,000",
Dinner,3x10,30,"¥2,000","¥60,000",
,,,,,
Meals Total Cost,,,,"¥180,000",5580
,,,,,
Entrance fee ,,QTY,Price per pax,Total,
Osaka Wonder Cruise,,8,"¥2,000","¥16,000",
Osaka Wonder Cruise,Child,2,"¥1,500","¥3,000",
Osaka Castle,,9,"¥1,200","¥10,800",
Osaka Castle,Child,2,¥700,"¥1,400",
Tenryyuji,,11,¥500,"¥5,500",
,,,,,
Entrance Total Cost,,,,"¥36,700",1137.7
,,,,,
,,,,,
Tour Guide Expenses,,QTY,Price per pax,Total,
Tour Guide: TBC,Airport Transfer 2x,2,"¥10,000","¥20,000",
,Full Day Tour (10hours) 8 days,3,"¥20,000","¥60,000",
TG Shinkansen,Osaka - Tokyo,0,"¥15,000",¥0,
TG Accomodation,18 - 29 Dec 2024,5,"¥5,000","¥25,000",
TG Transportation,,5,"¥1,000","¥5,000",
TG Meals,,5,"¥1,500","¥7,500",
TG Flight,,0,"¥86,500",¥0,
Manage Tour Group,7 pax,10,"¥6,000","¥60,000",
,,,,,
Tour Guide Total Expenses,,,,"¥177,500",5502.5
,,,,,
Total,,,JPY,RM,RM0.031
,,,"¥769,200","RM23,845.20",